name,coordinate,mail_code
505 East Green Street,"40.109951,-88.231435",438
507 East Daniel Street,"40.107724,-88.231558",417
912 South Fifth Street,"40.107013,-88.231770",478
Altgeld Hall,"40.109350,-88.228378",382
Coble Hall,"40.108742,-88.229236",322
English Building,"40.107567,-88.228196",718
Gregory Hall,"40.105617,-88.228106",462
Henry Admin Building,"40.108373,-88.228213",360
Ice Arena,"40.105876,-88.232525",525
Illini Hall,"40.109457,-88.229279",372
Illini Union Bookstore,"40.108298,-88.229239",378
International Studies Building,"40.107219,-88.231632",485
Irwin Academic Services Ctr,"40.105772,-88.233139",530
Library and Information Sciences,"40.107664,-88.231523",493
Lincoln Hall,"40.106610,-88.228239",454
Police Training Institute,"40.106411,-88.233045",523
Psychology Building,"40.107490,-88.229966",716
Sherman Hall,"40.107096,-88.232349",490
Student services Arcade Building,"40.109781,-88.229472",383
Swanlund Administration Building,"40.108840,-88.230048",304
University YMCA,"40.106565,-88.229256",409
Speech & Hearing Sci,"40.107627, -88.230599",482